Date,AAPL,MSFT,GOOG,AMZN,NVDA,META,JPM,GS,BAC,JNJ,UNH,PFE,KO,PG,NKE,WMT,XOM,CVX,CAT,HON,UPS,DIS,NFLX,TSLA,COST
2021-04-26,131.216675,250.972794,115.389648,170.449997,15.439088,300.680450,133.368042,304.640717,34.902706,142.518875,363.350494,30.133156,46.232635,116.442299,121.989326,43.040943,45.974232,82.438332,211.223434,188.439972,141.945312,180.030396,51.029999,246.066666,348.896332
2021-04-27,130.895294,251.375809,114.416664,170.871506,15.343079,301.206299,133.979233,307.398682,35.318947,141.702652,362.102234,29.953981,46.163719,116.371323,122.462067,43.187630,46.576977,83.396553,211.021790,189.639420,156.736526,180.391876,50.555000,234.913330,350.496368
2021-04-28,130.106293,244.265472,118.026520,172.925003,15.238343,304.708801,134.847336,308.711243,35.451797,140.660599,362.184875,30.234436,46.172321,116.566513,121.164291,43.034698,47.980633,85.442886,212.817459,189.588379,160.159790,179.170639,50.652000,231.466660,349.909363
2021-04-29,130.008957,242.298340,120.505150,173.565506,15.286222,326.944336,137.469345,313.021301,36.408279,142.588394,368.573212,30.070829,46.749588,117.551186,123.528061,43.577751,48.665958,86.807129,208.392563,190.464569,164.479248,181.066025,50.900002,225.666672,354.406586
2021-04-30,128.041443,241.981735,119.524712,173.371002,14.971765,322.548798,136.246933,309.012787,35.894615,141.311874,366.049011,30.109783,46.508343,118.358467,122.934822,43.665131,47.262287,83.696991,208.978836,189.732986,164.592285,181.740128,51.347000,236.479996,353.030884
2021-05-03,129.093369,241.674698,118.783295,169.324493,14.799449,320.068268,135.848328,310.529205,35.921177,143.465454,372.566040,31.029058,46.939137,119.760117,123.314880,44.354866,48.566872,85.694633,209.033875,189.869080,171.325882,181.241867,50.910999,228.300003,359.890594
2021-05-04,124.525337,237.769287,116.753960,165.593506,14.315172,315.881165,137.726242,310.245514,36.310860,145.688522,377.559296,31.122534,46.646191,119.352036,121.942970,43.917927,48.872391,86.165596,213.834366,191.766113,173.029419,180.010864,50.318001,224.533340,356.066864
2021-05-05,124.768837,236.502625,116.877449,163.526993,14.422149,312.567108,139.533279,317.144928,36.656258,145.080688,378.623962,31.138115,46.525574,118.393967,122.554771,43.880474,50.342106,88.479912,217.929520,192.412613,173.198975,177.333893,49.608002,223.646667,353.419861
2021-05-06,126.366188,239.630829,118.097916,165.318497,14.486487,317.528168,142.341354,324.549866,37.205341,145.662476,380.891174,30.831299,46.990833,119.884308,123.741302,44.193794,50.820995,88.528641,217.187439,194.513763,173.408905,177.607437,49.955002,221.179993,363.154266
2021-05-07,127.039406,242.250443,118.957855,164.580505,14.775010,316.595490,142.828491,328.913147,37.355904,146.322418,383.351105,31.138119,46.964989,119.893181,127.745773,43.927479,51.547600,89.340668,220.778687,194.624313,175.604980,180.587265,50.383999,224.123337,364.634430
